country,title,gender,Quantity,Percentage
Spain,Database Management System Specialist (DBMS Specialist),Male,9,0.16%
Spain,Database Coordinator,Female,8,0.14%
Spain,Automatic Data Processing Planner (ADP Planner),Male,8,0.14%
Spain,Data Processing Systems Analyst,Male,8,0.14%
Spain,Database Manager,Male,7,0.12%
Spain,Data Coordinator,Male,7,0.12%
Spain,Data Systems Manager,Male,7,0.12%
Spain,Database Administration Manager,Male,7,0.12%
Spain,Database Development and Administration Project Manager,Male,7,0.12%
Spain,Database Software Technician,Male,6,0.11%
Spain,Electronic Data Interchange System Developer (EDI System Developer),Male,6,0.11%
Spain,Database Development and Administration Project Manager,Female,6,0.11%
Spain,Database Engineer,Female,6,0.11%
Spain,Data Management Associate,Male,6,0.11%
Spain,Data Communications Software Consultant,Female,6,0.11%
Spain,Data Security Administrator,Female,6,0.11%
Spain,Data Security Analyst,Female,6,0.11%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),Male,6,0.11%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,6,0.11%
Spain,Database Architect,Male,6,0.11%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,6,0.11%
Spain,Data Modeling Specialist,Female,5,0.09%
Spain,Computer or Data Processing Systems Consultant,Male,5,0.09%
Spain,Data Architect,Male,5,0.09%
Spain,Automatic Data Processing Planner,Female,5,0.09%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Female,5,0.09%
Spain,Database Engineer,Male,5,0.09%
Spain,Database Security Expert,Male,5,0.09%
Spain,Database Designer,Male,5,0.09%
Spain,Head of Information Systems and Data Processing,Male,5,0.09%
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,5,0.09%
Spain,Director of Data Operations,Female,5,0.09%
Spain,SQL Database Administrator,Male,5,0.09%
Spain,Data Scientist,Male,5,0.09%
Spain,Data Security Administrator,Male,5,0.09%
Spain,Data Warehouse Architect,Female,5,0.09%
Spain,Data Processing Manager,Male,5,0.09%
Spain,Data Warehouse Specialist,Female,5,0.09%
Spain,Database Security Administrator,Male,4,0.07%
Spain,Computer or Data Processing Systems Consultant,Female,4,0.07%
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,4,0.07%
Spain,Database Administration Associate,Male,4,0.07%
Spain,Data Systems Manager,Female,4,0.07%
Spain,Data Management Associate,Female,4,0.07%
Spain,Data Warehouse Specialist,Male,4,0.07%
Spain,Data Warehouse Analyst,Female,4,0.07%
Spain,Data Communications Software Consultant,Male,4,0.07%
Spain,Data Base Design Analyst,Female,4,0.07%
Spain,Data Warehouse Analyst,Male,4,0.07%
Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Female,4,0.07%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),Female,4,0.07%
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Female,4,0.07%
Spain,Data Storage Specialist,Male,4,0.07%
Spain,Oracle Database Administrator (Oracle DBA),Male,4,0.07%
Spain,Data Warehousing Engineer,Female,4,0.07%
Spain,Data Warehousing Manager,Female,4,0.07%
Spain,Data Reduction Technician,Female,4,0.07%
Spain,Data Processing Systems Project Planner,Male,4,0.07%
Spain,Data Processing Systems Project Planner,Female,4,0.07%
Spain,Database Management System Specialist (DBMS Specialist),Female,4,0.07%
Spain,Database Design Analyst,Female,4,0.07%
Spain,Databases Software Consultant,Male,4,0.07%
Spain,Data Modeling Specialist,Male,4,0.07%
Spain,Data Security Analyst,Male,4,0.07%
Spain,Database Coordinator,Male,4,0.07%
Spain,Automatic Data Processing Planner,Male,4,0.07%
Spain,Database Security Administrator,Female,4,0.07%
Spain,Data Warehouse Architect,Male,4,0.07%
Spain,Database Administration Associate,Female,3,0.05%
Spain,Data Processing Consultant,Female,3,0.05%
Spain,Data Processing Auditor,Male,3,0.05%
Spain,Data Processing Clerk,Male,3,0.05%
Spain,Data Processing Consultant,Male,3,0.05%
Spain,Data Management Information Technology Specialist,Male,3,0.05%
Spain,Data Processing Equipment Repairer,Male,3,0.05%
Spain,Data Processing Manager,Female,3,0.05%
Spain,Data Sciences Director,Female,3,0.05%
Spain,Data Miner,Female,3,0.05%
Spain,Automatic Data Processing Planner (ADP Planner),Female,3,0.05%
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Female,3,0.05%
Spain,Data Architect,Female,3,0.05%
Spain,Data Communications Analyst,Male,3,0.05%
Spain,Data Coordinator,Female,3,0.05%
Spain,Director of Data Operations,Male,3,0.05%
Spain,Head of Information Systems and Data Processing,Female,3,0.05%
Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,3,0.05%
Spain,Electronic Data Processing Auditor (EDP Auditor),Male,3,0.05%
Spain,Electronic Data Processing Auditor (EDP Auditor),Female,3,0.05%
Spain,SQL Database Administrator,Female,3,0.05%
Spain,Oracle Database Administrator (Oracle DBA),Female,3,0.05%
Spain,Electronic Data Interchange System Developer (EDI System Developer),Female,3,0.05%
Spain,Database Marketing Analyst,Male,3,0.05%
Spain,Database Security Expert,Female,3,0.05%
Spain,Databases Software Consultant,Female,3,0.05%
Spain,Databases Computer Consultant,Male,3,0.05%
Spain,Database Tester,Male,3,0.05%
Spain,Database Specialist,Male,3,0.05%
Spain,Database Marketing Analyst,Female,3,0.05%
Spain,Data Sciences Director,Male,2,0.04%
Spain,Data Warehousing Specialist,Male,2,0.04%
Spain,Data Warehouse Developer,Male,2,0.04%
Spain,Data Technician,Male,2,0.04%
Spain,Data Scientist,Female,2,0.04%
Spain,Data Recovery Planner,Male,2,0.04%
Spain,Data Processing Systems Analyst,Female,2,0.04%
Spain,Data Processing Auxiliary Equipment Operator,Male,2,0.04%
Spain,Data Operations Director,Male,2,0.04%
Spain,Data Operations Director,Female,2,0.04%
Spain,Database Administration Project Manager,Female,2,0.04%
Spain,Database Architect,Female,2,0.04%
Spain,Database Consultant,Male,2,0.04%
Spain,Internet Database Specialist,Female,2,0.04%
Spain,Weight in Motion Field Data Collection Technician,Male,2,0.04%
Spain,Weight in Motion Field Data Collection Technician,Female,2,0.04%
Spain,Scientific Database Curator,Male,2,0.04%
Spain,Naval Tactical Data System--Combat Information Center Officer,Male,2,0.04%
Spain,Micro Computer Data Processor,Female,2,0.04%
Spain,Health Data Analyst,Male,2,0.04%
Spain,Database Manager,Female,2,0.04%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,2,0.04%
Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Female,2,0.04%
Spain,Flight Test Data Acquisition Technician,Male,2,0.04%
Spain,Databases Computer Consultant,Female,2,0.04%
Spain,Database Specialist,Female,2,0.04%
Spain,Database Software Technician,Female,2,0.04%
Spain,Data Miner,Male,2,0.04%
Spain,Data Management Information Technology Specialist,Female,2,0.04%
Spain,Data Entry Machine Operator,Female,2,0.04%
Spain,Data Compiler,Male,2,0.04%
Spain,Data Compiler,Female,2,0.04%
Spain,Data Communications Analyst,Female,2,0.04%
Spain,Data Base Design Analyst,Male,2,0.04%
Spain,Data Administrator,Male,2,0.04%
Spain,Clinical Data Manager,Male,2,0.04%
Spain,Clinical Data Management Manager (CDM Manager),Male,2,0.04%
Spain,Data Officer,Female,1,0.02%
Spain,Data Officer,Male,1,0.02%
Spain,Data Processing Auditor,Female,1,0.02%
Spain,Data Processing Supervisor,Female,1,0.02%
Spain,Data Reviewer,Female,1,0.02%
Spain,Data Processing Supervisor,Male,1,0.02%
Spain,Data Processing Mechanic,Male,1,0.02%
Spain,Data Processing Equipment Repairer,Female,1,0.02%
Spain,Clinical Data Abstractor,Male,1,0.02%
Spain,Clinical Data Management Manager (CDM Manager),Female,1,0.02%
Spain,Clinical Data Associate,Female,1,0.02%
Spain,Data Control Clerk Supervisor,Male,1,0.02%
Spain,Data Conversion Operator,Female,1,0.02%
Spain,Business Database Analyst,Male,1,0.02%
Spain,Data Communications Technician,Female,1,0.02%
Spain,Business Database Analyst,Female,1,0.02%
Spain,Data Communications Technician,Male,1,0.02%
Spain,Data Collector,Female,1,0.02%
Spain,Data Analyst,Female,1,0.02%
Spain,Data Analysis Assistant,Male,1,0.02%
Spain,Crime Data Specialist,Male,1,0.02%
Spain,Clinical Data Specialist,Female,1,0.02%
Spain,Data Entry Associate,Female,1,0.02%
Spain,Data Keyer,Male,1,0.02%
Spain,Data Entry Machine Operator,Male,1,0.02%
Spain,Data Management Manager,Male,1,0.02%
Spain,Data Modeler,Male,1,0.02%
Spain,Data Input Clerk,Male,1,0.02%
Spain,Data Examination Clerk,Male,1,0.02%
Spain,Data Entry Supervisor,Male,1,0.02%
Spain,Analytical Data Miner,Male,1,0.02%
Spain,Data Entry Specialist,Female,1,0.02%
Spain,Data Entry Representative,Female,1,0.02%
Spain,Data Entry Operator,Male,1,0.02%
Spain,Clinical Data Associate,Male,1,0.02%
Spain,Datastage Developer,Male,1,0.02%
Spain,Database Technician,Male,1,0.02%
Spain,Database Modeler,Male,1,0.02%
Spain,Database Modeler,Female,1,0.02%
Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Male,1,0.02%
Spain,LiDAR Data Analyst,Female,1,0.02%
Spain,Internet Database Specialist,Male,1,0.02%
Spain,Flight Test Data Acquisition Technician,Female,1,0.02%
Spain,Flight Data Technician,Male,1,0.02%
Spain,Field Traffic Data Technician,Male,1,0.02%
Spain,Field Artillery Automated Tactical Data System Specialist,Male,1,0.02%
Spain,Field Artillery Automated Tactical Data System Specialist,Female,1,0.02%
Spain,Data Typist,Female,1,0.02%
Spain,Data Transcriber,Male,1,0.02%
Spain,Data Transcriber,Female,1,0.02%
Spain,Data Storage Specialist,Female,1,0.02%
Spain,Data Warehousing Engineer,Male,1,0.02%
Spain,Data Warehousing Manager,Male,1,0.02%
Spain,Data Warehousing Specialist,Female,1,0.02%
Spain,Database Development Project Manager,Male,1,0.02%
Spain,Database Development Project Manager,Female,1,0.02%
Spain,Database Developer,Female,1,0.02%
Spain,Database Consultant,Female,1,0.02%
Spain,Database Administration Manager,Female,1,0.02%
Spain,LiDAR Data Analyst,Male,1,0.02%
Spain,Maintenance Data Analyst,Male,1,0.02%
Spain,Marketing Database Analyst,Male,1,0.02%
Spain,Medical Data Analyst,Male,1,0.02%
Spain,Voice and Data Technician,Male,1,0.02%
Spain,Voice and Data Technician,Female,1,0.02%
Spain,Survey Data Technician,Female,1,0.02%
Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician),Female,1,0.02%
Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),Male,1,0.02%
Spain,Reference Data Expert,Male,1,0.02%
Spain,Reference Data Expert,Female,1,0.02%
Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",Male,1,0.02%
Spain,Naval Tactical Data System--Combat Information Center Officer,Female,1,0.02%
Spain,Micro Computer Data Processor,Male,1,0.02%
